"","Neighborhood","Age 10 or less (%)","Age 11 to 18 (%)","Age 19 to 34 (%)","Age 35 to 49 (%)","Age 50 to 64 (%)","Age 65 and up (%)","Median Age","Square Miles","Diversity Index","Bachelor's Degree (%)","Four-year Degrees (%)","High School Diploma (%)","Less Than High School (%)","Masters Degree or Higher (%)","Some College (%)","Asian Population (%)","Black Population (%)","Latino Population (%)","Non-White Population (%)","White Population (%)","Foreign Born Population (%)","Median income 125k and up (%)","Median income 20k income or less (%)","Median income 20k to 40k income (%)","Median income 40k to 60k income (%)","Median income 60k to 125k income (%)","Percent of Households (%)","Median Income ($)","Divorced Females (%)","Divorced Males (%)","Married Females (%)","Married Males (%)","Never Married Females (%)","Never Married Males (%)","Widowed Females (%)","Widowed Males (%)","1975-1990 (%)","1990-1999 (%)","Vietnam (%)","World War II or Korea (%)","Homeowners (%)","Population per Sqmi","Population Total"
"108","Huntington Park",0.237,0.139,0.298,0.189,0.085,0.052,24,3,0.094,0.03,0.047,0.149,0.678,0.018,0.125,0.008,0.006,0.951,0.97,0.03,0.559,3.9,0.02,0.308,0.326,0.182,0.135,39185,0.053,0.035,0.547,0.538,0.337,0.412,0.063,0.016,0.162,0.264,0.106,0.458,0.273,"20,223","61,370"
"109","Hyde Park",0.193,0.129,0.222,0.217,0.137,0.103,31,2.9,0.488,0.087,0.123,0.23,0.312,0.035,0.336,0.011,0.66,0.273,0.98,0.02,0.195,2.8,0.024,0.321,0.259,0.152,0.163,39460,0.15,0.089,0.369,0.469,0.371,0.41,0.11,0.032,0.154,0.065,0.244,0.521,0.467,"12,700","36,635"
"110","Industry",0.194,0.088,0.23,0.254,0.055,0.179,33,12.4,0.546,0.078,0.12,0.321,0.334,0.042,0.225,0.089,0.017,0.622,0.76,0.24,0.273,4.6,0.1,0.134,0.202,0.36,0.379,66616,0.012,0.045,0.684,0.581,0.194,0.337,0.11,0.038,0.002,0.001,0.516,0.174,0.399,"82","1,008"
"111","Inglewood",0.212,0.125,0.25,0.22,0.122,0.07,29,9.1,0.571,0.086,0.133,0.201,0.363,0.048,0.303,0.011,0.464,0.46,0.96,0.04,0.295,3,0.032,0.279,0.271,0.178,0.193,46574,0.128,0.083,0.437,0.506,0.356,0.395,0.08,0.016,0.183,0.114,0.273,0.421,0.364,"12,330","112,482"
"112","Irwindale",0.181,0.139,0.264,0.198,0.103,0.115,27,9.6,0.212,0.05,0.073,0.257,0.4,0.024,0.27,0.014,0,0.884,0.919,0.081,0.272,3.5,0.06,0.293,0.158,0.302,0.18,60959,0.13,0,0.415,0.585,0.337,0.386,0.118,0.029,0.17,0,0.33,0.5,0.686,"154","1,472"
"113","Jefferson Park",0.197,0.122,0.245,0.216,0.112,0.108,31,1.4,0.577,0.084,0.118,0.202,0.413,0.034,0.267,0.029,0.468,0.449,0.973,0.027,0.327,2.8,0.023,0.403,0.26,0.128,0.121,32654,0.115,0.071,0.414,0.497,0.376,0.403,0.095,0.029,0.156,0.123,0.245,0.465,0.305,"16,300","23,130"
"114","Koreatown",0.177,0.083,0.336,0.232,0.109,0.062,30,2.7,0.602,0.159,0.214,0.197,0.409,0.055,0.18,0.322,0.048,0.535,0.926,0.074,0.68,2.7,0.022,0.426,0.306,0.122,0.087,30558,0.078,0.054,0.493,0.487,0.362,0.446,0.067,0.014,0.196,0.191,0.18,0.421,0.07,"42,611","115,070"
"115","La Cañada Flintridge",0.155,0.156,0.082,0.269,0.198,0.14,41,8.6,0.457,0.339,0.635,0.087,0.041,0.296,0.236,0.196,0.005,0.047,0.293,0.707,0.195,2.9,0.428,0.077,0.075,0.101,0.305,148996,0.064,0.043,0.669,0.727,0.183,0.207,0.084,0.023,0.07,0.035,0.23,0.656,0.9,"2,369","20,381"
"116","La Crescenta-Montrose",0.147,0.134,0.154,0.29,0.162,0.112,38,3.4,0.514,0.259,0.408,0.173,0.08,0.149,0.338,0.198,0.005,0.096,0.34,0.66,0.284,2.7,0.157,0.122,0.175,0.18,0.342,82693,0.111,0.055,0.586,0.638,0.219,0.279,0.084,0.027,0.138,0.038,0.309,0.504,0.648,"5,401","18,507"
"117","Ladera Heights",0.13,0.089,0.136,0.233,0.223,0.189,43,2.9,0.456,0.269,0.534,0.102,0.026,0.265,0.338,0.033,0.71,0.033,0.809,0.191,0.067,2.5,0.326,0.046,0.114,0.14,0.35,117925,0.182,0.082,0.517,0.625,0.192,0.279,0.109,0.014,0.031,0.028,0.331,0.61,0.768,"2,214","6,509"
"118","La Habra Heights",0.123,0.118,0.126,0.239,0.225,0.169,43,6.2,0.539,0.265,0.493,0.186,0.073,0.228,0.248,0.193,0.023,0.119,0.361,0.639,0.22,2.9,0.379,0.046,0.086,0.103,0.34,137034,0.038,0.073,0.682,0.662,0.19,0.246,0.089,0.019,0.012,0.035,0.26,0.673,0.942,"979","6,094"
"119","Lake Balboa",0.161,0.097,0.232,0.267,0.133,0.11,35,3.1,0.632,0.166,0.235,0.208,0.212,0.07,0.345,0.088,0.035,0.341,0.51,0.49,0.318,2.7,0.068,0.163,0.223,0.204,0.311,65336,0.108,0.102,0.532,0.54,0.262,0.333,0.097,0.025,0.166,0.093,0.235,0.507,0.659,"7,754","24,238"
"120","Lake Hughes",0.169,0.2,0.146,0.298,0.132,0.055,33,9.4,0.389,0.12,0.165,0.264,0.134,0.046,0.437,0.01,0.042,0.161,0.237,0.763,0.049,2.7,0.051,0.11,0.164,0.195,0.335,74918,0.146,0.088,0.66,0.585,0.145,0.298,0.049,0.028,0.184,0.078,0.398,0.34,0.774,"61","571"
"121","Lake Los Angeles",0.227,0.201,0.145,0.256,0.115,0.056,27,7,0.639,0.055,0.088,0.266,0.334,0.032,0.312,0.02,0.092,0.355,0.529,0.471,0.159,3.7,0.024,0.183,0.284,0.228,0.184,52146,0.112,0.104,0.598,0.61,0.23,0.271,0.061,0.016,0.329,0.052,0.305,0.293,0.777,"1,601","11,141"
"122","Lake View Terrace",0.191,0.138,0.227,0.232,0.133,0.078,31,4.2,0.636,0.116,0.164,0.212,0.38,0.048,0.244,0.053,0.171,0.53,0.777,0.223,0.324,3.6,0.075,0.155,0.205,0.208,0.327,67985,0.093,0.085,0.524,0.508,0.3,0.385,0.084,0.021,0.136,0.089,0.293,0.444,0.747,"2,790","11,803"
"123","Lakewood",0.169,0.121,0.202,0.255,0.137,0.116,35,9.5,0.649,0.155,0.207,0.244,0.149,0.051,0.401,0.138,0.07,0.229,0.477,0.523,0.19,2.9,0.068,0.134,0.176,0.196,0.408,78764,0.108,0.08,0.562,0.598,0.225,0.297,0.105,0.025,0.149,0.082,0.321,0.44,0.72,"8,348","79,412"
"124","La Mirada",0.152,0.13,0.206,0.23,0.147,0.135,35,7.8,0.644,0.169,0.252,0.246,0.155,0.083,0.347,0.15,0.017,0.335,0.531,0.469,0.227,3,0.099,0.118,0.176,0.176,0.414,83514,0.088,0.061,0.565,0.622,0.239,0.297,0.108,0.02,0.126,0.063,0.257,0.543,0.82,"5,966","46,782"
"125","Lancaster",0.197,0.143,0.216,0.24,0.114,0.089,31,102.4,0.638,0.103,0.159,0.26,0.215,0.056,0.366,0.039,0.154,0.241,0.474,0.526,0.129,2.9,0.044,0.218,0.224,0.191,0.239,56069,0.132,0.108,0.517,0.542,0.26,0.328,0.091,0.022,0.21,0.141,0.315,0.329,0.614,"1,180","120,783"
"126","La Puente",0.21,0.144,0.262,0.21,0.097,0.077,26,3.5,0.306,0.057,0.078,0.225,0.503,0.021,0.194,0.072,0.019,0.827,0.933,0.067,0.435,4,0.028,0.201,0.272,0.209,0.267,55902,0.082,0.057,0.541,0.535,0.307,0.386,0.07,0.023,0.192,0.156,0.178,0.468,0.608,"11,761","41,009"
"127","Larchmont",0.149,0.077,0.282,0.269,0.139,0.083,34,0.5,0.708,0.223,0.319,0.185,0.249,0.096,0.247,0.3,0.03,0.372,0.754,0.246,0.56,2.5,0.052,0.266,0.282,0.16,0.198,47780,0.109,0.064,0.475,0.502,0.359,0.421,0.057,0.013,0.108,0.296,0.148,0.449,0.271,"17,747","8,631"
"128","La Verne",0.141,0.135,0.19,0.247,0.163,0.125,37,8.6,0.53,0.193,0.314,0.195,0.113,0.121,0.377,0.074,0.028,0.229,0.36,0.64,0.144,2.8,0.131,0.12,0.18,0.175,0.374,83352,0.098,0.069,0.573,0.627,0.239,0.29,0.09,0.014,0.123,0.061,0.316,0.482,0.78,"3,863","33,117"
"129","Lawndale",0.214,0.117,0.286,0.23,0.102,0.05,28,2,0.651,0.085,0.125,0.261,0.366,0.04,0.248,0.105,0.116,0.524,0.779,0.221,0.387,3.2,0.029,0.209,0.285,0.239,0.207,53150,0.133,0.085,0.498,0.503,0.311,0.402,0.059,0.011,0.174,0.195,0.306,0.317,0.33,"16,119","31,729"
"130","Leimert Park",0.146,0.108,0.172,0.243,0.154,0.176,38,1.2,0.351,0.13,0.219,0.198,0.182,0.089,0.4,0.046,0.796,0.114,0.988,0.012,0.107,2.2,0.058,0.29,0.25,0.169,0.18,45865,0.166,0.114,0.335,0.453,0.345,0.387,0.154,0.046,0.116,0.037,0.327,0.502,0.459,"9,880","11,782"
"131","Lennox",0.251,0.156,0.284,0.202,0.066,0.041,23,1.1,0.197,0.02,0.03,0.165,0.695,0.009,0.11,0.012,0.042,0.894,0.961,0.039,0.551,4.2,0.022,0.325,0.315,0.174,0.121,37937,0.044,0.026,0.543,0.557,0.356,0.404,0.056,0.014,0.133,0.19,0.306,0.372,0.288,"21,557","22,950"
"132","Leona Valley",0.149,0.187,0.055,0.324,0.206,0.079,41,15.3,0.353,0.194,0.329,0.173,0.063,0.136,0.434,0.055,0.005,0.072,0.204,0.796,0.089,3.1,0.197,0.079,0.121,0.078,0.443,117526,0.055,0.082,0.735,0.689,0.149,0.195,0.061,0.034,0.148,0,0.491,0.36,0.904,"90","1,374"
"133","Lincoln Heights",0.206,0.134,0.26,0.196,0.102,0.102,27,2.5,0.436,0.043,0.055,0.138,0.682,0.012,0.125,0.252,0.004,0.707,0.973,0.027,0.558,3.6,0.019,0.421,0.297,0.121,0.091,30579,0.057,0.044,0.502,0.53,0.351,0.406,0.091,0.02,0.259,0.126,0.19,0.406,0.241,"10,602","26,616"
"134","Littlerock",0.191,0.144,0.162,0.257,0.156,0.089,35,1.8,0.592,0.065,0.098,0.249,0.292,0.033,0.361,0.008,0.095,0.346,0.473,0.527,0.175,3.2,0.047,0.198,0.201,0.151,0.277,60781,0.075,0.111,0.643,0.597,0.212,0.278,0.071,0.013,0.159,0.105,0.374,0.344,0.786,"766","1,388"
"135","Lomita",0.182,0.081,0.228,0.261,0.135,0.112,35,1.9,0.626,0.156,0.229,0.237,0.198,0.072,0.336,0.117,0.041,0.261,0.463,0.537,0.197,2.5,0.062,0.184,0.251,0.175,0.287,59059,0.166,0.117,0.497,0.556,0.24,0.307,0.097,0.02,0.212,0.065,0.327,0.387,0.466,"10,424","19,984"
"136","Long Beach",0.192,0.114,0.263,0.226,0.115,0.09,31,52.1,0.723,0.158,0.239,0.188,0.273,0.082,0.3,0.129,0.144,0.357,0.667,0.333,0.286,2.7,0.066,0.257,0.241,0.162,0.226,50985,0.112,0.09,0.458,0.474,0.337,0.413,0.092,0.022,0.155,0.119,0.303,0.416,0.412,"8,882","462,731"
"137","Lopez/Kagel Canyons",0.069,0.24,0.152,0.228,0.174,0.137,37,3.6,0.543,0.16,0.291,0.189,0.118,0.131,0.401,0.024,0.086,0.267,0.385,0.615,0.135,2.1,0.068,0.156,0.274,0.165,0.292,61398,0.233,0.142,0.482,0.389,0.204,0.424,0.081,0.045,0.042,0.001,0.559,0.396,0.739,"195","697"
"138","Los Feliz",0.087,0.067,0.309,0.264,0.14,0.132,36,2.6,0.61,0.279,0.427,0.166,0.158,0.148,0.249,0.135,0.037,0.187,0.424,0.576,0.445,2,0.092,0.263,0.246,0.153,0.209,50793,0.095,0.066,0.432,0.413,0.372,0.502,0.101,0.018,0.136,0.077,0.212,0.567,0.245,"13,512","35,238"
"139","Lynwood",0.241,0.16,0.281,0.197,0.081,0.041,23,4.9,0.309,0.028,0.045,0.19,0.615,0.018,0.149,0.012,0.133,0.82,0.971,0.029,0.436,4.4,0.018,0.244,0.298,0.203,0.198,48518,0.059,0.04,0.54,0.537,0.34,0.402,0.061,0.02,0.172,0.15,0.292,0.386,0.471,"14,264","69,899"
"140","Malibu",0.114,0.095,0.157,0.268,0.228,0.137,42,19.9,0.207,0.327,0.594,0.095,0.041,0.267,0.27,0.015,0.012,0.055,0.112,0.888,0.144,2.4,0.344,0.085,0.085,0.085,0.249,138215,0.134,0.102,0.56,0.582,0.233,0.306,0.073,0.01,0.06,0.043,0.18,0.702,0.72,"629","12,514"
"141","Manchester Square",0.174,0.139,0.193,0.211,0.152,0.131,34,1,0.346,0.088,0.117,0.272,0.299,0.029,0.312,0.003,0.786,0.192,0.993,0.007,0.132,2.7,0.035,0.306,0.228,0.183,0.187,46093,0.16,0.096,0.376,0.457,0.328,0.403,0.136,0.044,0.131,0.034,0.216,0.591,0.57,"11,449","11,594"
"142","Manhattan Beach",0.149,0.081,0.215,0.279,0.173,0.102,37,4,0.262,0.39,0.676,0.081,0.032,0.286,0.211,0.062,0.005,0.051,0.145,0.855,0.091,2.3,0.369,0.062,0.084,0.121,0.324,136481,0.098,0.077,0.574,0.557,0.266,0.346,0.061,0.02,0.056,0.048,0.349,0.539,0.649,"8,573","34,039"
"143","Marina del Rey",0.053,0.016,0.334,0.303,0.196,0.097,38,1.5,0.377,0.393,0.623,0.077,0.028,0.231,0.271,0.082,0.048,0.05,0.219,0.781,0.239,1.5,0.142,0.099,0.114,0.136,0.35,92763,0.185,0.227,0.384,0.365,0.38,0.394,0.051,0.014,0.087,0.107,0.309,0.497,0.082,"5,706","8,302"
"144","Mar Vista",0.128,0.07,0.292,0.249,0.144,0.117,35,2.9,0.634,0.264,0.423,0.147,0.163,0.159,0.267,0.128,0.035,0.291,0.487,0.513,0.335,2.3,0.117,0.185,0.233,0.18,0.262,62611,0.125,0.084,0.466,0.49,0.321,0.408,0.088,0.019,0.122,0.057,0.242,0.572,0.394,"12,259","35,492"
"145","Mayflower Village",0.192,0.122,0.215,0.242,0.129,0.1,32,1.2,0.658,0.098,0.147,0.226,0.319,0.049,0.309,0.102,0.086,0.484,0.701,0.299,0.328,3.3,0.043,0.162,0.216,0.231,0.321,67592,0.094,0.062,0.55,0.607,0.268,0.29,0.088,0.042,0.128,0.077,0.268,0.526,0.759,"9,585","11,649"
"146","Maywood",0.254,0.136,0.297,0.191,0.08,0.043,23,1.2,0.069,0.015,0.023,0.163,0.704,0.008,0.109,0.002,0,0.964,0.972,0.028,0.552,4.1,0.016,0.296,0.338,0.171,0.146,41203,0.04,0.028,0.58,0.55,0.319,0.408,0.06,0.014,0.177,0.274,0.091,0.458,0.295,"23,638","28,083"
"147","Mid-City",0.179,0.121,0.26,0.231,0.125,0.083,31,3.5,0.637,0.112,0.168,0.201,0.355,0.056,0.277,0.039,0.383,0.452,0.905,0.095,0.351,2.8,0.04,0.294,0.273,0.166,0.173,43711,0.122,0.077,0.438,0.47,0.35,0.432,0.09,0.021,0.151,0.084,0.275,0.475,0.311,"15,051","52,197"
"148","Mid-Wilshire",0.113,0.066,0.324,0.247,0.126,0.124,34,2.8,0.755,0.296,0.452,0.137,0.14,0.156,0.271,0.198,0.227,0.199,0.664,0.336,0.339,2.1,0.076,0.219,0.228,0.189,0.25,58483,0.129,0.083,0.375,0.431,0.404,0.464,0.091,0.022,0.193,0.094,0.165,0.537,0.217,"14,988","41,683"
"149","Mission Hills",0.18,0.116,0.21,0.23,0.125,0.139,34,3.2,0.615,0.12,0.159,0.255,0.303,0.039,0.283,0.107,0.04,0.536,0.71,0.29,0.352,3.4,0.072,0.134,0.196,0.19,0.379,75675,0.08,0.081,0.541,0.558,0.264,0.346,0.115,0.016,0.083,0.103,0.298,0.502,0.784,"5,721","18,237"
"150","Monrovia",0.182,0.109,0.229,0.243,0.129,0.107,33,13.9,0.65,0.169,0.251,0.196,0.22,0.082,0.333,0.068,0.081,0.352,0.538,0.462,0.215,2.7,0.082,0.186,0.24,0.191,0.266,61504,0.137,0.098,0.501,0.558,0.269,0.318,0.092,0.026,0.159,0.094,0.268,0.468,0.48,"2,643","36,817"
"151","Montebello",0.185,0.116,0.253,0.197,0.124,0.125,31,8.5,0.417,0.101,0.143,0.239,0.379,0.042,0.239,0.114,0.005,0.747,0.891,0.109,0.38,3.2,0.045,0.236,0.262,0.189,0.239,52623,0.093,0.058,0.501,0.537,0.306,0.384,0.1,0.022,0.068,0.12,0.25,0.554,0.476,"7,329","61,960"
"152","Montecito Heights",0.184,0.109,0.262,0.21,0.138,0.095,31,2.4,0.524,0.145,0.242,0.145,0.4,0.097,0.213,0.171,0.029,0.656,0.879,0.121,0.415,3,0.065,0.232,0.226,0.184,0.24,55901,0.105,0.065,0.483,0.492,0.331,0.423,0.08,0.02,0.15,0.137,0.28,0.433,0.507,"6,959","16,768"
"153","Monterey Park",0.128,0.093,0.222,0.22,0.157,0.181,38,7.7,0.537,0.177,0.251,0.203,0.284,0.074,0.262,0.611,0.001,0.288,0.926,0.074,0.536,3,0.066,0.23,0.245,0.18,0.248,55210,0.07,0.055,0.535,0.593,0.276,0.328,0.119,0.023,0.044,0.067,0.203,0.673,0.541,"7,823","59,933"
"154","Mount Washington",0.175,0.099,0.246,0.239,0.147,0.095,33,1.9,0.565,0.159,0.259,0.164,0.353,0.1,0.223,0.128,0.026,0.612,0.792,0.208,0.415,2.9,0.065,0.21,0.233,0.169,0.256,57725,0.098,0.066,0.509,0.505,0.316,0.409,0.077,0.02,0.104,0.061,0.246,0.575,0.549,"6,878","12,728"
"155","Northeast Antelope Valley",0.143,0.133,0.159,0.244,0.187,0.134,38,442,0.548,0.058,0.097,0.277,0.26,0.038,0.366,0.018,0.079,0.246,0.38,0.62,0.132,2.7,0.03,0.226,0.197,0.177,0.192,52234,0.118,0.133,0.601,0.572,0.181,0.268,0.101,0.027,0.143,0.05,0.259,0.529,0.738,"10","4,550"
"156","North El Monte",0.159,0.091,0.204,0.238,0.157,0.152,37,0.4,0.678,0.18,0.243,0.245,0.169,0.064,0.343,0.261,0.014,0.307,0.602,0.398,0.37,2.8,0.059,0.181,0.283,0.168,0.286,56577,0.109,0.059,0.555,0.577,0.212,0.336,0.124,0.028,0.102,0.053,0.168,0.678,0.646,"8,677","3,703"
"157","North Hills",0.216,0.124,0.265,0.218,0.098,0.079,28,5.3,0.604,0.127,0.178,0.193,0.395,0.051,0.234,0.122,0.048,0.565,0.758,0.242,0.457,3.4,0.056,0.246,0.252,0.179,0.237,52456,0.076,0.053,0.549,0.554,0.3,0.376,0.075,0.017,0.099,0.108,0.25,0.536,0.494,"10,003","53,095"
"158","North Hollywood",0.19,0.103,0.309,0.234,0.097,0.067,30,5.9,0.586,0.134,0.185,0.183,0.398,0.051,0.234,0.057,0.056,0.577,0.73,0.27,0.464,2.8,0.032,0.293,0.307,0.177,0.164,42791,0.1,0.076,0.47,0.468,0.348,0.438,0.082,0.018,0.184,0.17,0.265,0.366,0.246,"13,264","77,848"
"159","Northridge",0.135,0.107,0.283,0.217,0.14,0.119,32,9.5,0.661,0.225,0.349,0.162,0.183,0.124,0.306,0.145,0.054,0.261,0.505,0.495,0.318,2.7,0.124,0.18,0.208,0.186,0.276,67906,0.088,0.059,0.531,0.545,0.299,0.374,0.081,0.023,0.096,0.073,0.25,0.563,0.536,"6,080","57,561"
"160","Northwest Antelope Valley",0.145,0.124,0.12,0.27,0.188,0.152,41,213.9,0.372,0.095,0.149,0.292,0.189,0.054,0.37,0.026,0.021,0.143,0.222,0.778,0.062,2.6,0.033,0.208,0.206,0.19,0.265,58899,0.144,0.136,0.603,0.632,0.152,0.203,0.102,0.029,0.085,0.029,0.368,0.518,0.814,"16","3,343"
"161","Northwest Palmdale",0.145,0.171,0.092,0.257,0.216,0.118,40,5.8,0.421,0.145,0.214,0.272,0.119,0.069,0.395,0.036,0.015,0.12,0.254,0.746,0.086,3,0.19,0.086,0.086,0.155,0.401,103013,0.093,0.044,0.632,0.659,0.18,0.261,0.095,0.036,0.025,0.002,0.426,0.547,0.878,"540","3,125"
"162","North Whittier",0.155,0.108,0.195,0.25,0.193,0.1,37,5.5,0.588,0.199,0.318,0.17,0.171,0.119,0.341,0.156,0.008,0.574,0.759,0.241,0.257,3,0.171,0.067,0.173,0.177,0.39,93841,0.077,0.067,0.575,0.623,0.278,0.29,0.07,0.021,0.155,0.067,0.288,0.49,0.851,"797","4,351"
"163","Norwalk",0.203,0.135,0.245,0.211,0.116,0.091,29,9.8,0.554,0.081,0.106,0.265,0.37,0.025,0.259,0.117,0.043,0.628,0.81,0.19,0.364,3.6,0.036,0.156,0.261,0.229,0.296,62412,0.085,0.059,0.542,0.563,0.28,0.357,0.093,0.02,0.121,0.109,0.253,0.502,0.658,"10,572","103,223"
"164","Pacific Palisades",0.15,0.088,0.102,0.265,0.22,0.174,43,22.8,0.21,0.356,0.709,0.064,0.023,0.353,0.204,0.055,0.004,0.032,0.114,0.886,0.155,2.4,0.477,0.056,0.081,0.094,0.252,168008,0.12,0.082,0.616,0.687,0.166,0.206,0.097,0.026,0.028,0.029,0.199,0.742,0.825,"1,048","23,940"
"165","Pacoima",0.225,0.149,0.272,0.199,0.094,0.061,24,7.1,0.259,0.03,0.042,0.161,0.662,0.013,0.135,0.019,0.072,0.856,0.954,0.046,0.471,4.3,0.02,0.251,0.285,0.202,0.208,49066,0.059,0.046,0.534,0.515,0.34,0.426,0.067,0.013,0.186,0.129,0.22,0.433,0.565,"10,510","75,014"
"166","Palmdale",0.23,0.163,0.189,0.261,0.1,0.058,28,134.4,0.67,0.094,0.133,0.249,0.261,0.038,0.358,0.039,0.138,0.378,0.594,0.406,0.2,3.3,0.044,0.181,0.212,0.19,0.3,63317,0.106,0.074,0.575,0.61,0.256,0.3,0.063,0.016,0.207,0.126,0.368,0.296,0.709,"874","117,432"
"167","Palms",0.11,0.062,0.425,0.235,0.103,0.065,31,1.9,0.739,0.291,0.459,0.146,0.12,0.167,0.275,0.204,0.122,0.234,0.617,0.383,0.403,2,0.05,0.225,0.296,0.188,0.211,50684,0.111,0.085,0.377,0.387,0.455,0.519,0.057,0.01,0.194,0.19,0.277,0.325,0.131,"21,870","42,545"
"168","Palos Verdes Estates",0.133,0.113,0.082,0.231,0.24,0.201,46,4.7,0.398,0.399,0.709,0.074,0.016,0.31,0.201,0.173,0.011,0.029,0.245,0.755,0.19,2.7,0.473,0.04,0.08,0.059,0.306,167344,0.051,0.037,0.728,0.765,0.136,0.182,0.085,0.017,0.012,0.013,0.188,0.787,0.905,"2,822","13,340"
"169","Panorama City",0.235,0.127,0.288,0.205,0.082,0.062,25,3.6,0.479,0.106,0.137,0.181,0.495,0.031,0.187,0.119,0.043,0.701,0.885,0.115,0.55,3.6,0.022,0.264,0.32,0.178,0.18,44468,0.065,0.052,0.553,0.55,0.308,0.383,0.074,0.015,0.106,0.161,0.259,0.456,0.36,"18,028","65,766"
"170","Paramount",0.251,0.134,0.283,0.193,0.087,0.051,24,4.9,0.445,0.043,0.07,0.208,0.5,0.027,0.223,0.043,0.119,0.729,0.911,0.089,0.406,3.8,0.025,0.239,0.281,0.217,0.193,49815,0.077,0.063,0.513,0.531,0.334,0.394,0.076,0.012,0.198,0.155,0.303,0.339,0.428,"11,395","55,319"
"171","Pasadena",0.15,0.089,0.266,0.234,0.14,0.12,34,25.1,0.706,0.236,0.415,0.134,0.204,0.179,0.248,0.1,0.139,0.333,0.609,0.391,0.323,2.5,0.125,0.207,0.213,0.162,0.25,62825,0.108,0.074,0.488,0.508,0.309,0.395,0.095,0.022,0.103,0.098,0.258,0.53,0.46,"5,366","134,941"
"172","Pico Rivera",0.191,0.134,0.236,0.206,0.12,0.113,31,8.8,0.221,0.051,0.071,0.26,0.449,0.02,0.22,0.025,0.005,0.879,0.925,0.075,0.339,3.7,0.035,0.225,0.243,0.21,0.268,56683,0.076,0.065,0.526,0.556,0.298,0.353,0.1,0.026,0.118,0.11,0.194,0.565,0.701,"7,187","63,151"
"173","Pico-Robertson",0.108,0.073,0.293,0.233,0.13,0.162,36,1,0.442,0.288,0.483,0.131,0.136,0.195,0.251,0.057,0.056,0.073,0.265,0.735,0.346,2.1,0.107,0.218,0.201,0.178,0.265,63356,0.133,0.095,0.409,0.429,0.333,0.434,0.126,0.042,0.145,0.085,0.156,0.594,0.269,"17,468","18,019"
"174","Pico-Union",0.21,0.117,0.299,0.207,0.098,0.071,27,1.7,0.264,0.049,0.067,0.158,0.657,0.018,0.117,0.076,0.029,0.854,0.97,0.03,0.646,3.3,0.018,0.484,0.278,0.104,0.067,26424,0.067,0.045,0.497,0.506,0.362,0.434,0.074,0.015,0.213,0.195,0.163,0.416,0.095,"25,352","42,324"
"175","Playa del Rey",0.078,0.046,0.303,0.279,0.184,0.11,38,2.8,0.451,0.363,0.592,0.083,0.028,0.229,0.297,0.079,0.039,0.1,0.274,0.726,0.162,1.9,0.204,0.099,0.149,0.155,0.352,91339,0.155,0.108,0.427,0.419,0.367,0.46,0.052,0.013,0.053,0.166,0.242,0.534,0.47,"3,542","9,755"
"176","Playa Vista",0.107,0.088,0.245,0.257,0.146,0.157,37,1.3,0.722,0.182,0.265,0.219,0.257,0.083,0.258,0.212,0.047,0.348,0.676,0.324,0.311,2.4,0.082,0.22,0.158,0.221,0.304,68597,0.101,0.114,0.521,0.524,0.27,0.311,0.108,0.052,0.118,0.046,0.272,0.525,0.548,"1,859","2,416"
"177","Pomona",0.22,0.143,0.269,0.208,0.094,0.067,26,22.9,0.543,0.091,0.129,0.186,0.45,0.038,0.236,0.072,0.091,0.644,0.83,0.17,0.366,3.6,0.051,0.233,0.246,0.189,0.24,54242,0.081,0.064,0.533,0.536,0.309,0.386,0.076,0.014,0.146,0.137,0.284,0.422,0.573,"6,556","150,269"
"178","Porter Ranch",0.136,0.116,0.141,0.265,0.221,0.12,41,5.6,0.551,0.335,0.514,0.142,0.07,0.179,0.274,0.268,0.018,0.075,0.391,0.609,0.336,3,0.314,0.065,0.104,0.127,0.378,121428,0.059,0.04,0.674,0.719,0.189,0.227,0.079,0.014,0.076,0.044,0.295,0.585,0.918,"4,462","24,923"
"179","Quartz Hill",0.175,0.147,0.174,0.27,0.148,0.086,35,3.8,0.43,0.142,0.207,0.252,0.116,0.065,0.426,0.022,0.055,0.151,0.264,0.736,0.061,2.9,0.12,0.176,0.153,0.161,0.329,77498,0.119,0.075,0.621,0.63,0.196,0.279,0.065,0.016,0.16,0.057,0.369,0.404,0.775,"2,475","9,351"
"180","Ramona",0.154,0.115,0.185,0.247,0.159,0.141,37,3.6,0.702,0.226,0.33,0.193,0.155,0.104,0.322,0.35,0.03,0.263,0.677,0.323,0.343,3.1,0.161,0.118,0.144,0.17,0.35,86325,0.086,0.068,0.567,0.609,0.217,0.301,0.13,0.022,0.136,0.074,0.319,0.448,0.743,"1,122","4,053"
"181","Rancho Dominguez",0.136,0.072,0.174,0.215,0.259,0.144,44,2.7,0.701,0.113,0.174,0.307,0.164,0.06,0.355,0.077,0.279,0.161,0.568,0.432,0.147,2.5,0,0.132,0.157,0.333,0.381,72097,0.159,0.094,0.474,0.623,0.288,0.244,0.078,0.039,0.164,0.056,0.244,0.537,0.868,"947","2,526"
"182","Rancho Palos Verdes",0.128,0.109,0.104,0.251,0.221,0.187,44,13.4,0.537,0.318,0.58,0.119,0.042,0.262,0.259,0.252,0.021,0.056,0.372,0.628,0.268,2.7,0.342,0.051,0.113,0.108,0.366,128321,0.081,0.053,0.663,0.718,0.161,0.204,0.096,0.024,0.075,0.041,0.225,0.651,0.819,"3,084","41,301"
